analysis_id,label,n,armable,high_only_15,low_only_15,high_any_15,low_any_15,both_15,first_hit_high_pct,first_hit_n,any_hit_edge,any_hit_side,prior_source,prior_side,prior_edge
gc/1545-candle-hit-stats,"gc/1545-candle-hit-stats",215,true,30.7,33.02,38.14,40.47,7.44,48.18,137,-2.33,balanced,first_hit,low,-3.64
1545-candle-hit-stats,"15:45",214,true,35.98,33.64,41.12,38.79,5.14,51.68,149,2.33,balanced,first_hit,high,3.36
es/london-candle-hit-stats,"es/london-candle-hit-stats 3:00",227,true,36.56,34.36,48.9,46.7,12.33,51.55,161,2.2,balanced,first_hit,high,3.1
es/rth-afternoon-candle-hit-stats,"es/rth-afternoon-candle-hit-stats 15:45",218,false,33.03,31.19,38.99,37.16,5.96,51.43,140,1.83,balanced,first_hit,balanced,2.86
london-candle-hit-stats,"london-candle-hit-stats 3:15",219,false,,,46.58,43.84,5.94,,,2.74,balanced,any_hit,balanced,2.74
london-candle-hit-stats,"london-candle-hit-stats 4:00",219,false,,,46.12,43.38,4.57,,,2.74,balanced,any_hit,balanced,2.74
es/london-candle-hit-stats,"es/london-candle-hit-stats 4:15",227,false,40.09,42.29,48.46,50.66,8.37,48.66,187,-2.2,balanced,first_hit,balanced,-2.68
asia-candle-hit-stats,"asia-candle-hit-stats 9:00 PM",219,false,,,42.47,40.18,7.31,,,2.29,balanced,any_hit,balanced,2.29
es/london-candle-hit-stats,"es/london-candle-hit-stats 3:15",227,false,39.65,37.89,47.58,45.81,7.93,51.13,176,1.77,balanced,first_hit,balanced,2.26
es/rth-afternoon-candle-hit-stats,"es/rth-afternoon-candle-hit-stats 15:00",218,false,39.45,41.28,44.95,46.79,5.5,48.87,176,-1.84,balanced,first_hit,balanced,-2.26
es/rth-afternoon-candle-hit-stats,"es/rth-afternoon-candle-hit-stats 11:00",226,false,39.82,41.59,50.44,52.21,10.62,48.91,184,-1.77,balanced,first_hit,balanced,-2.18
es/asia-candle-hit-stats,"es/asia-candle-hit-stats 8:15 PM",227,false,35.68,34.36,48.46,47.14,12.78,50.94,159,1.32,balanced,first_hit,balanced,1.88
1230-candle-hit-stats,"12:30",214,false,37.85,39.25,48.13,49.53,10.28,49.09,165,-1.4,balanced,first_hit,balanced,-1.82
gc/1300-candle-hit-stats,"gc/1300-candle-hit-stats",219,false,36.07,35.16,50.68,49.77,14.61,50.64,156,0.91,balanced,first_hit,balanced,1.28
es/rth-afternoon-candle-hit-stats,"es/rth-afternoon-candle-hit-stats 12:30",226,false,38.05,37.17,49.56,48.67,11.5,50.58,170,0.89,balanced,first_hit,balanced,1.16
asia-candle-hit-stats,"asia-candle-hit-stats 8:15 PM",220,false,,,46.82,45.91,10,,,0.91,balanced,any_hit,balanced,0.91
london-candle-hit-stats,"london-candle-hit-stats 3:00",219,false,,,44.29,43.38,8.22,,,0.91,balanced,any_hit,balanced,0.91
1500-candle-hit-stats,"15:00",214,false,40.65,41.12,47.66,48.13,7.01,49.71,175,-0.47,balanced,first_hit,balanced,-0.58
