dow,n,either_1045_pct,both_1045_pct,high_only_1045,low_only_1045,neither_1045,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100,either_1115_pct,both_1115_pct,high_only_1115,low_only_1115,neither_1115
Mon,45,82.22,8.89,18,15,8,95.56,24.44,18,14,2,95.56,35.56,15,12,2
Tue,45,80.00,11.11,19,12,9,86.67,24.44,17,11,6,91.11,28.89,18,10,4
Wed,45,88.89,11.11,19,16,5,97.78,20.00,18,17,1,97.78,22.22,17,17,1
Thu,43,83.72,2.33,19,16,7,93.02,11.63,19,16,3,95.35,20.93,18,14,2
Fri,44,84.09,6.82,20,14,7,95.45,18.18,19,15,2,97.73,25.00,16,16,1
