metric,by_10_45_count,by_10_45_pct,by_11_00_count,by_11_00_pct,by_11_15_count,by_11_15_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,186,83.78,208,93.69,212,95.50
both_sides,18,8.11,44,19.82,59,26.58
high_only,95,42.79,91,40.99,84,37.84
low_only,73,32.88,73,32.88,69,31.08
neither,36,16.22,14,6.31,10,4.50
high_any,113,50.90,135,60.81,143,64.41
low_any,91,40.99,117,52.70,128,57.66
