metric,by_15_30_count,by_15_30_pct,by_15_45_count,by_15_45_pct,by_16_00_count,by_16_00_pct
total_days,215,100.00,215,100.00,215,100.00
either_side,181,84.19,203,94.42,208,96.74
both_sides,12,5.58,33,15.35,47,21.86
high_only,97,45.12,95,44.19,88,40.93
low_only,72,33.49,75,34.88,73,33.95
neither,34,15.81,12,5.58,7,3.26
high_any,109,50.70,128,59.53,135,62.79
low_any,84,39.07,108,50.23,120,55.81
