dow,n,either_1530_pct,both_1530_pct,high_only_1530,low_only_1530,neither_1530,either_1545_pct,both_1545_pct,high_only_1545,low_only_1545,neither_1545,either_1600_pct,both_1600_pct,high_only_1600,low_only_1600,neither_1600
Mon,42,85.71,4.76,18,16,6,95.24,16.67,16,17,2,97.62,21.43,15,17,1
Tue,45,86.67,4.44,24,13,6,93.33,24.44,20,11,3,97.78,31.11,20,10,1
Wed,44,86.36,9.09,22,12,6,90.91,15.91,22,11,4,93.18,22.73,20,11,3
Thu,42,80.95,4.76,21,11,8,97.62,7.14,24,14,1,97.62,11.90,22,14,1
Fri,42,80.95,4.76,12,20,8,95.24,11.90,13,22,2,97.62,21.43,11,21,1
