dow,n,either_1530_pct,both_1530_pct,high_only_1530,low_only_1530,neither_1530,either_1545_pct,both_1545_pct,high_only_1545,low_only_1545,neither_1545,either_1600_pct,both_1600_pct,high_only_1600,low_only_1600,neither_1600
Mon,42,85.71,7.14,12,21,6,97.62,26.19,11,19,1,97.62,40.48,10,14,1
Tue,45,95.56,13.33,21,16,2,97.78,28.89,17,14,1,100.00,48.89,14,9,0
Wed,44,86.36,2.27,21,16,6,95.45,13.64,22,14,2,100.00,31.82,19,11,0
Thu,41,85.37,7.32,12,20,6,95.12,19.51,14,17,2,97.56,43.90,11,11,1
Fri,42,90.48,4.76,21,15,4,97.62,26.19,14,16,1,100.00,38.10,12,14,0
