candle,n,by_plus_15,by_plus_30,by_plus_45
3:00,219,8.22,17.81,26.03
3:15,219,5.94,21.46,31.51
3:30,219,6.85,27.85,37.90
3:45,219,21.00,32.42,40.64
4:00,219,4.57,11.87,17.35
4:15,219,8.68,17.81,25.11
