metric,by_12_00_count,by_12_00_pct,by_12_15_count,by_12_15_pct,by_12_30_count,by_12_30_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,194,87.39,214,96.40,218,98.20
both_sides,23,10.36,43,19.37,65,29.28
high_only,102,45.95,101,45.50,92,41.44
low_only,69,31.08,70,31.53,61,27.48
neither,28,12.61,8,3.60,4,1.80
high_any,125,56.31,144,64.86,157,70.72
low_any,92,41.44,113,50.90,126,56.76
