dow,n,either_1200_pct,both_1200_pct,high_only_1200,low_only_1200,neither_1200,either_1215_pct,both_1215_pct,high_only_1215,low_only_1215,neither_1215,either_1230_pct,both_1230_pct,high_only_1230,low_only_1230,neither_1230
Mon,45,84.44,15.56,19,12,7,97.78,24.44,20,13,1,100.00,26.67,21,12,0
Tue,45,88.89,11.11,24,11,5,100.00,20.00,24,12,0,100.00,22.22,23,12,0
Wed,45,88.89,8.89,20,16,5,95.56,15.56,19,17,2,97.78,33.33,16,13,1
Thu,43,86.05,4.65,20,15,6,93.02,18.60,17,15,3,97.67,27.91,15,15,1
Fri,44,88.64,11.36,19,15,5,95.45,18.18,21,13,2,95.45,36.36,17,9,2
