dow,n,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100,either_1115_pct,both_1115_pct,high_only_1115,low_only_1115,neither_1115,either_1130_pct,both_1130_pct,high_only_1130,low_only_1130,neither_1130
Mon,45,93.33,4.44,23,17,3,95.56,28.89,17,13,2,95.56,35.56,16,11,2
Tue,45,80.00,4.44,18,16,9,95.56,17.78,19,16,2,97.78,24.44,18,15,1
Wed,45,84.44,4.44,16,20,7,93.33,13.33,14,22,3,95.56,17.78,15,20,2
Thu,43,81.40,6.98,18,14,8,93.02,18.60,20,12,3,97.67,27.91,19,11,1
Fri,44,86.36,11.36,17,16,6,97.73,15.91,17,19,1,97.73,22.73,16,17,1
