metric,by_11_00_count,by_11_00_pct,by_11_15_count,by_11_15_pct,by_11_30_count,by_11_30_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,189,85.14,211,95.05,215,96.85
both_sides,14,6.31,42,18.92,57,25.68
high_only,92,41.44,87,39.19,84,37.84
low_only,83,37.39,82,36.94,74,33.33
neither,33,14.86,11,4.95,7,3.15
high_any,106,47.75,129,58.11,141,63.51
low_any,97,43.69,124,55.86,131,59.01
