metric,by_12_30_count,by_12_30_pct,by_12_45_count,by_12_45_pct,by_13_00_count,by_13_00_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,189,85.14,210,94.59,214,96.40
both_sides,12,5.41,40,18.02,59,26.58
high_only,82,36.94,79,35.59,74,33.33
low_only,95,42.79,91,40.99,81,36.49
neither,33,14.86,12,5.41,8,3.60
high_any,94,42.34,119,53.60,133,59.91
low_any,107,48.20,131,59.01,140,63.06
