dow,n,either_1230_pct,both_1230_pct,high_only_1230,low_only_1230,neither_1230,either_1245_pct,both_1245_pct,high_only_1245,low_only_1245,neither_1245,either_1300_pct,both_1300_pct,high_only_1300,low_only_1300,neither_1300
Mon,45,82.22,6.67,20,14,8,93.33,20.00,19,14,3,95.56,33.33,17,11,2
Tue,45,84.44,8.89,15,19,7,95.56,22.22,17,16,2,95.56,28.89,17,13,2
Wed,45,80.00,2.22,19,16,9,93.33,8.89,21,17,3,95.56,15.56,19,17,2
Thu,43,93.02,6.98,14,23,3,97.67,18.60,11,23,1,100.00,27.91,10,21,0
Fri,44,86.36,2.27,14,23,6,93.18,20.45,11,21,3,95.45,27.27,11,19,2
