dow,n,either_1615_pct,both_1615_pct,high_only_1615,low_only_1615,neither_1615,either_1630_pct,both_1630_pct,high_only_1630,low_only_1630,neither_1630,either_1645_pct,both_1645_pct,high_only_1645,low_only_1645,neither_1645
Mon,42,69.05,2.38,11,17,13,73.81,2.38,12,18,11,78.57,2.38,12,20,9
Tue,45,64.44,2.22,15,13,16,80.00,8.89,17,15,9,82.22,8.89,17,16,8
Wed,44,81.82,6.82,17,16,8,84.09,11.36,18,14,7,86.36,13.64,18,14,6
Thu,41,87.80,12.20,18,13,5,90.24,12.20,19,13,4,95.12,14.63,20,13,2
Fri,42,71.43,2.38,16,13,12,76.19,2.38,17,14,10,76.19,4.76,17,13,10
