dow,n,either_1300_pct,both_1300_pct,high_only_1300,low_only_1300,neither_1300,either_1315_pct,both_1315_pct,high_only_1315,low_only_1315,neither_1315,either_1330_pct,both_1330_pct,high_only_1330,low_only_1330,neither_1330
Mon,42,85.71,4.76,22,12,6,97.62,16.67,20,14,1,97.62,26.19,16,14,1
Tue,45,86.67,13.33,16,17,6,91.11,24.44,13,17,4,95.56,33.33,13,15,2
Wed,44,86.36,15.91,16,15,6,93.18,31.82,16,11,3,93.18,50.00,11,8,3
Thu,41,85.37,12.20,11,19,6,90.24,31.71,8,16,4,97.56,39.02,8,16,1
Fri,42,92.86,4.76,16,21,3,95.24,16.67,15,18,2,97.62,23.81,13,18,1
