metric,by_10_15_count,by_10_15_pct,by_10_30_count,by_10_30_pct,by_10_45_count,by_10_45_pct
total_days,232,100.00,232,100.00,232,100.00
either_side,189,81.47,216,93.10,225,96.98
both_sides,6,2.59,23,9.91,34,14.66
high_only,103,44.40,111,47.84,108,46.55
low_only,80,34.48,82,35.34,83,35.78
neither,43,18.53,16,6.90,7,3.02
high_any,109,46.98,134,57.76,142,61.21
low_any,86,37.07,105,45.26,117,50.43
