dow,n,either15_pct,both15_pct,high_only_15,low_only_15,neither_15,either30_pct,both30_pct,high_only_30,low_only_30,neither_30,either45_pct,both45_pct,high_only_45,low_only_45,neither_45
Mon,47,80.85,2.13,28,9,9,91.49,8.51,27,12,4,95.74,14.89,26,12,2
Tue,47,76.60,8.51,16,16,11,91.49,19.15,19,15,4,91.49,25.53,16,15,4
Wed,47,85.11,2.13,22,17,7,93.62,8.51,22,18,3,100.00,8.51,23,20,0
Thu,45,75.56,0.00,16,18,11,91.11,11.11,20,16,4,97.78,17.78,21,15,1
Fri,46,89.13,0.00,21,20,5,97.83,2.17,23,21,1,100.00,6.52,22,21,0
