dow,n,either_1330_pct,both_1330_pct,high_only_1330,low_only_1330,neither_1330,either_1345_pct,both_1345_pct,high_only_1345,low_only_1345,neither_1345,either_1400_pct,both_1400_pct,high_only_1400,low_only_1400,neither_1400
Mon,45,88.89,17.78,18,14,5,95.56,26.67,18,13,2,100.00,28.89,18,14,0
Tue,45,82.22,17.78,14,15,8,95.56,33.33,14,14,2,97.78,37.78,13,14,1
Wed,43,76.74,20.93,10,14,10,93.02,39.53,7,16,3,95.35,39.53,8,16,2
Thu,43,90.70,11.63,17,17,4,97.67,20.93,15,18,1,100.00,27.91,14,17,0
Fri,43,90.70,4.65,20,17,4,97.67,20.93,18,15,1,97.67,34.88,14,13,1
