dow,n,either_1015_pct,both_1015_pct,high_only_1015,low_only_1015,neither_1015,either_1030_pct,both_1030_pct,high_only_1030,low_only_1030,neither_1030,either_1045_pct,both_1045_pct,high_only_1045,low_only_1045,neither_1045
Mon,45,93.33,11.11,16,21,3,100.00,31.11,12,19,0,100.00,33.33,11,19,0
Tue,45,91.11,15.56,12,22,4,93.33,28.89,10,19,3,100.00,35.56,11,18,0
Wed,45,86.67,2.22,25,13,6,95.56,24.44,21,11,2,100.00,37.78,18,10,0
Thu,43,88.37,6.98,17,18,5,95.35,16.28,19,15,2,100.00,25.58,18,14,0
Fri,44,90.91,4.55,26,12,4,97.73,15.91,23,13,1,100.00,22.73,22,12,0
