metric,by_10_00_count,by_10_00_pct,by_10_15_count,by_10_15_pct,by_10_30_count,by_10_30_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,178,80.18,208,93.69,215,96.85
both_sides,12,5.41,40,18.02,61,27.48
high_only,90,40.54,85,38.29,78,35.14
low_only,76,34.23,83,37.39,76,34.23
neither,44,19.82,14,6.31,7,3.15
high_any,102,45.95,125,56.31,139,62.61
low_any,88,39.64,123,55.41,137,61.71
