dow,n,either_1000_pct,both_1000_pct,high_only_1000,low_only_1000,neither_1000,either_1015_pct,both_1015_pct,high_only_1015,low_only_1015,neither_1015,either_1030_pct,both_1030_pct,high_only_1030,low_only_1030,neither_1030
Mon,45,73.33,6.67,19,11,12,93.33,13.33,20,16,3,95.56,24.44,18,14,2
Tue,45,84.44,6.67,20,15,7,93.33,22.22,15,17,3,100.00,28.89,14,18,0
Wed,45,82.22,0.00,17,20,8,95.56,13.33,18,19,2,97.78,26.67,17,15,1
Thu,43,81.40,9.30,14,17,8,93.02,13.95,13,21,3,95.35,20.93,13,19,2
Fri,44,79.55,4.55,20,13,9,93.18,27.27,19,10,3,95.45,36.36,16,10,2
