dow,n,either_1330_pct,both_1330_pct,high_only_1330,low_only_1330,neither_1330,either_1345_pct,both_1345_pct,high_only_1345,low_only_1345,neither_1345,either_1400_pct,both_1400_pct,high_only_1400,low_only_1400,neither_1400
Mon,42,92.86,11.90,18,16,3,97.62,30.95,15,13,1,100.00,42.86,13,11,0
Tue,45,86.67,4.44,24,13,6,91.11,22.22,21,10,4,97.78,37.78,20,7,1
Wed,44,84.09,6.82,17,17,7,100.00,27.27,20,12,0,100.00,29.55,20,11,0
Thu,41,85.37,9.76,16,15,6,100.00,17.07,20,14,0,100.00,21.95,19,13,0
Fri,42,88.10,9.52,14,19,5,100.00,28.57,13,17,0,100.00,47.62,11,11,0
