metric,by_13_30_count,by_13_30_pct,by_13_45_count,by_13_45_pct,by_14_00_count,by_14_00_pct
total_days,214,100.00,214,100.00,214,100.00
either_side,187,87.38,209,97.66,213,99.53
both_sides,18,8.41,54,25.23,77,35.98
high_only,89,41.59,89,41.59,83,38.79
low_only,80,37.38,66,30.84,53,24.77
neither,27,12.62,5,2.34,1,0.47
high_any,107,50.00,143,66.82,160,74.77
low_any,98,45.79,120,56.07,130,60.75
