metric,by_13_00_count,by_13_00_pct,by_13_15_count,by_13_15_pct,by_13_30_count,by_13_30_pct
total_days,220,100.00,220,100.00,220,100.00
either_side,176,80.00,205,93.18,212,96.36
both_sides,19,8.64,54,24.55,80,36.36
high_only,85,38.64,84,38.18,71,32.27
low_only,72,32.73,67,30.45,61,27.73
neither,44,20.00,15,6.82,8,3.64
high_any,104,47.27,138,62.73,151,68.64
low_any,91,41.36,121,55.00,141,64.09
