dow,n,either_1300_pct,both_1300_pct,high_only_1300,low_only_1300,neither_1300,either_1315_pct,both_1315_pct,high_only_1315,low_only_1315,neither_1315,either_1330_pct,both_1330_pct,high_only_1330,low_only_1330,neither_1330
Mon,45,77.78,11.11,18,12,10,95.56,33.33,16,12,2,97.78,40.00,14,12,1
Tue,45,80.00,6.67,16,17,9,93.33,31.11,17,11,3,95.56,44.44,12,11,2
Wed,44,81.82,11.36,21,10,8,90.91,20.45,18,13,4,93.18,34.09,16,10,3
Thu,43,83.72,4.65,16,18,7,95.35,20.93,15,17,2,100.00,34.88,15,13,0
Fri,43,76.74,9.30,14,15,10,90.70,16.28,18,14,4,95.35,27.91,14,15,2
