candle_et,n,by_plus_15,by_plus_30,by_plus_45
8:00_PM,220,81.36,91.82,95.45
8:15_PM,220,82.73,92.73,95.91
8:30_PM,220,81.82,94.55,97.27
8:45_PM,220,89.09,95.45,98.18
9:00_PM,219,75.34,93.61,96.35
9:15_PM,219,89.04,96.35,99.54
