candle_et,n,hi_any_plus_15,lo_any_plus_15,hi_any_plus_45,lo_any_plus_45
8:00_PM,220,51.82,34.55,65.91,52.27
8:15_PM,220,46.82,45.91,67.27,58.64
8:30_PM,220,47.27,40.91,66.82,57.73
8:45_PM,220,56.82,45.91,73.18,57.73
9:00_PM,219,42.47,40.18,68.95,54.34
9:15_PM,219,56.16,44.75,69.41,59.36
