dow,n,either_1430_pct,both_1430_pct,high_only_1430,low_only_1430,neither_1430,either_1445_pct,both_1445_pct,high_only_1445,low_only_1445,neither_1445,either_1500_pct,both_1500_pct,high_only_1500,low_only_1500,neither_1500
Mon,42,88.10,4.76,22,13,5,100.00,21.43,19,14,0,100.00,21.43,19,14,0
Tue,45,80.00,6.67,15,18,9,91.11,26.67,13,16,4,97.78,35.56,13,15,1
Wed,44,79.55,6.82,19,13,9,97.73,9.09,22,17,1,100.00,18.18,22,14,0
Thu,41,80.49,12.20,14,14,8,97.56,24.39,13,17,1,100.00,36.59,12,14,0
Fri,42,92.86,14.29,18,15,3,97.62,23.81,16,15,1,100.00,30.95,13,16,0
