metric,by_14_30_count,by_14_30_pct,by_14_45_count,by_14_45_pct,by_15_00_count,by_15_00_pct
total_days,214,100.00,214,100.00,214,100.00
either_side,180,84.11,207,96.73,213,99.53
both_sides,19,8.88,45,21.03,61,28.50
high_only,88,41.12,83,38.79,79,36.92
low_only,73,34.11,79,36.92,73,34.11
neither,34,15.89,7,3.27,1,0.47
high_any,107,50.00,128,59.81,140,65.42
low_any,92,42.99,124,57.94,134,62.62
