metric,by_12_00_count,by_12_00_pct,by_12_15_count,by_12_15_pct,by_12_30_count,by_12_30_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,187,84.23,211,95.05,218,98.20
both_sides,11,4.95,43,19.37,56,25.23
high_only,96,43.24,94,42.34,92,41.44
low_only,80,36.04,74,33.33,70,31.53
neither,35,15.77,11,4.95,4,1.80
high_any,107,48.20,137,61.71,148,66.67
low_any,91,40.99,117,52.70,126,56.76
