dow,n,either_1200_pct,both_1200_pct,high_only_1200,low_only_1200,neither_1200,either_1215_pct,both_1215_pct,high_only_1215,low_only_1215,neither_1215,either_1230_pct,both_1230_pct,high_only_1230,low_only_1230,neither_1230
Mon,45,80.00,4.44,21,13,9,91.11,28.89,17,11,4,95.56,31.11,18,11,2
Tue,45,86.67,6.67,21,15,6,97.78,17.78,22,14,1,100.00,22.22,21,14,0
Wed,45,91.11,6.67,21,17,4,97.78,20.00,22,13,1,100.00,22.22,22,13,0
Thu,43,81.40,2.33,18,16,8,95.35,16.28,19,15,2,100.00,30.23,17,13,0
Fri,44,81.82,4.55,15,19,8,93.18,13.64,14,21,3,95.45,20.45,14,19,2
