metric,by_14_30_count,by_14_30_pct,by_14_45_count,by_14_45_pct,by_15_00_count,by_15_00_pct
total_days,215,100.00,215,100.00,215,100.00
either_side,169,78.60,194,90.23,205,95.35
both_sides,13,6.05,36,16.74,52,24.19
high_only,88,40.93,88,40.93,84,39.07
low_only,68,31.63,70,32.56,69,32.09
neither,46,21.40,21,9.77,10,4.65
high_any,101,46.98,124,57.67,136,63.26
low_any,81,37.67,106,49.30,121,56.28
