dow,n,either_1430_pct,both_1430_pct,high_only_1430,low_only_1430,neither_1430,either_1445_pct,both_1445_pct,high_only_1445,low_only_1445,neither_1445,either_1500_pct,both_1500_pct,high_only_1500,low_only_1500,neither_1500
Mon,42,80.95,9.52,17,13,8,88.10,19.05,17,12,5,95.24,21.43,19,12,2
Tue,46,84.78,4.35,20,17,7,95.65,13.04,21,17,2,97.83,26.09,18,15,1
Wed,43,83.72,6.98,15,18,7,88.37,20.93,12,17,5,95.35,27.91,12,17,2
Thu,42,71.43,2.38,18,11,12,92.86,14.29,20,13,3,95.24,23.81,18,12,2
Fri,42,71.43,7.14,18,9,12,85.71,16.67,18,11,6,92.86,21.43,17,13,3
