dow,n,either_1115_pct,both_1115_pct,high_only_1115,low_only_1115,neither_1115,either_1130_pct,both_1130_pct,high_only_1130,low_only_1130,neither_1130,either_1145_pct,both_1145_pct,high_only_1145,low_only_1145,neither_1145
Mon,45,88.89,11.11,14,21,5,91.11,28.89,13,15,4,93.33,35.56,12,14,3
Tue,45,91.11,11.11,21,15,4,95.56,17.78,22,13,2,95.56,24.44,21,11,2
Wed,45,88.89,4.44,23,15,5,95.56,20.00,19,15,2,95.56,24.44,17,15,2
Thu,43,93.02,16.28,18,15,3,97.67,30.23,17,12,1,100.00,39.53,14,12,0
Fri,44,84.09,6.82,20,14,7,93.18,9.09,21,16,3,95.45,15.91,20,15,2
