metric,by_11_15_count,by_11_15_pct,by_11_30_count,by_11_30_pct,by_11_45_count,by_11_45_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,198,89.19,210,94.59,213,95.95
both_sides,22,9.91,47,21.17,62,27.93
high_only,96,43.24,92,41.44,84,37.84
low_only,80,36.04,71,31.98,67,30.18
neither,24,10.81,12,5.41,9,4.05
high_any,118,53.15,139,62.61,146,65.77
low_any,102,45.95,118,53.15,129,58.11
