dow,n,either_1030_pct,both_1030_pct,high_only_1030,low_only_1030,neither_1030,either_1045_pct,both_1045_pct,high_only_1045,low_only_1045,neither_1045,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100
Mon,45,77.78,8.89,12,19,10,97.78,22.22,16,18,1,97.78,33.33,14,15,1
Tue,45,82.22,6.67,18,16,8,97.78,20.00,20,15,1,97.78,24.44,18,15,1
Wed,45,86.67,8.89,20,15,6,93.33,22.22,18,14,3,95.56,24.44,17,15,2
Thu,43,79.07,6.98,19,12,9,95.35,18.60,19,14,2,95.35,20.93,19,13,2
Fri,44,75.00,9.09,17,12,11,79.55,13.64,16,13,9,81.82,15.91,16,13,8
