metric,by_10_30_count,by_10_30_pct,by_10_45_count,by_10_45_pct,by_11_00_count,by_11_00_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,178,80.18,206,92.79,208,93.69
both_sides,18,8.11,43,19.37,53,23.87
high_only,86,38.74,89,40.09,84,37.84
low_only,74,33.33,74,33.33,71,31.98
neither,44,19.82,16,7.21,14,6.31
high_any,104,46.85,132,59.46,137,61.71
low_any,92,41.44,117,52.70,124,55.86
