dow,n,either_1230_pct,both_1230_pct,high_only_1230,low_only_1230,neither_1230,either_1245_pct,both_1245_pct,high_only_1245,low_only_1245,neither_1245,either_1300_pct,both_1300_pct,high_only_1300,low_only_1300,neither_1300
Mon,45,82.22,4.44,15,20,8,95.56,17.78,17,18,2,100.00,24.44,17,17,0
Tue,45,84.44,8.89,23,11,7,95.56,22.22,20,13,2,97.78,28.89,19,12,1
Wed,45,88.89,4.44,22,16,5,93.33,26.67,15,15,3,95.56,40.00,14,11,2
Thu,43,86.05,13.95,13,18,6,97.67,18.60,14,20,1,97.67,39.53,9,16,1
Fri,44,90.91,6.82,22,15,4,97.73,18.18,20,15,1,100.00,34.09,17,12,0
