metric,by_12_30_count,by_12_30_pct,by_12_45_count,by_12_45_pct,by_13_00_count,by_13_00_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,192,86.49,213,95.95,218,98.20
both_sides,17,7.66,46,20.72,74,33.33
high_only,95,42.79,86,38.74,76,34.23
low_only,80,36.04,81,36.49,68,30.63
neither,30,13.51,9,4.05,4,1.80
high_any,112,50.45,132,59.46,150,67.57
low_any,97,43.69,127,57.21,142,63.96
