dow,n,either_1130_pct,both_1130_pct,high_only_1130,low_only_1130,neither_1130,either_1145_pct,both_1145_pct,high_only_1145,low_only_1145,neither_1145,either_1200_pct,both_1200_pct,high_only_1200,low_only_1200,neither_1200
Mon,45,84.44,8.89,23,11,7,91.11,20.00,23,9,4,95.56,24.44,24,8,2
Tue,45,88.89,4.44,26,12,5,93.33,13.33,22,14,3,100.00,20.00,23,13,0
Wed,45,88.89,4.44,14,24,5,100.00,28.89,13,19,0,100.00,35.56,11,18,0
Thu,43,83.72,6.98,17,16,7,90.70,20.93,16,14,4,90.70,25.58,15,13,4
Fri,44,79.55,6.82,19,13,9,93.18,27.27,18,11,3,95.45,36.36,17,9,2
