metric,by_11_30_count,by_11_30_pct,by_11_45_count,by_11_45_pct,by_12_00_count,by_12_00_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,189,85.14,208,93.69,214,96.40
both_sides,14,6.31,49,22.07,63,28.38
high_only,99,44.59,92,41.44,90,40.54
low_only,76,34.23,67,30.18,61,27.48
neither,33,14.86,14,6.31,8,3.60
high_any,113,50.90,141,63.51,153,68.92
low_any,90,40.54,116,52.25,124,55.86
