dow,n,either_1130_pct,both_1130_pct,high_only_1130,low_only_1130,neither_1130,either_1145_pct,both_1145_pct,high_only_1145,low_only_1145,neither_1145,either_1200_pct,both_1200_pct,high_only_1200,low_only_1200,neither_1200
Mon,45,86.67,13.33,19,14,6,95.56,31.11,20,9,2,97.78,35.56,20,8,1
Tue,45,84.44,6.67,21,14,7,95.56,26.67,15,16,2,97.78,31.11,16,14,1
Wed,45,93.33,8.89,15,23,3,97.78,26.67,14,18,1,100.00,35.56,13,16,0
Thu,43,95.35,6.98,22,16,2,97.67,20.93,19,14,1,100.00,30.23,16,14,0
Fri,44,88.64,9.09,17,18,5,95.45,27.27,15,15,2,100.00,34.09,15,14,0
