metric,by_11_30_count,by_11_30_pct,by_11_45_count,by_11_45_pct,by_12_00_count,by_12_00_pct
total_days,222,100.00,222,100.00,222,100.00
either_side,199,89.64,214,96.40,220,99.10
both_sides,20,9.01,59,26.58,74,33.33
high_only,94,42.34,83,37.39,80,36.04
low_only,85,38.29,72,32.43,66,29.73
neither,23,10.36,8,3.60,2,0.90
high_any,114,51.35,142,63.96,154,69.37
low_any,105,47.30,131,59.01,140,63.06
