dow,n,either_1615_pct,both_1615_pct,high_only_1615,low_only_1615,neither_1615,either_1630_pct,both_1630_pct,high_only_1630,low_only_1630,neither_1630,either_1645_pct,both_1645_pct,high_only_1645,low_only_1645,neither_1645
Mon,42,64.29,11.90,11,11,15,78.57,16.67,12,14,9,95.24,19.05,13,19,2
Tue,45,77.78,8.89,16,15,10,86.67,13.33,15,18,6,93.33,17.78,16,18,3
Wed,44,81.82,4.55,18,16,8,86.36,13.64,17,15,6,93.18,27.27,14,15,3
Thu,42,61.90,7.14,13,10,16,83.33,11.90,16,14,7,88.10,19.05,14,15,5
Fri,42,69.05,4.76,8,19,13,88.10,9.52,13,20,5,100.00,14.29,15,21,0
