metric,by_16_15_count,by_16_15_pct,by_16_30_count,by_16_30_pct,by_16_45_count,by_16_45_pct
total_days,215,100.00,215,100.00,215,100.00
either_side,153,71.16,182,84.65,202,93.95
both_sides,16,7.44,28,13.02,42,19.53
high_only,66,30.70,73,33.95,72,33.49
low_only,71,33.02,81,37.67,88,40.93
neither,62,28.84,33,15.35,13,6.05
high_any,82,38.14,101,46.98,114,53.02
low_any,87,40.47,109,50.70,130,60.47
